Time Stamp,Flow Rate (GPM),Pressure (PSI),(Cl level) (ppm),Location,meter ID,Consumption,Acoustic Sensor ID,Status,Device ID,Type,Reading,Sensor ID,Reading.1,GIS Coordinates,Water_Price_Per_Unit,WaterAccount,MUC,Unauthorized Bill,Data Entry Error,Delays,Admin Errors,Loss of Records,Longitude,Latitude
2023-12-07 01:00:00,100,50,0.5,Rohini,M1,1800,A1,No Noise Detected,I1,IoT Flow Sensor,0.8 (Chlorine Level),S1,52 (Pressure),"40.712775, -74.005973",0.19245,51603,₹0.00,Yes,No,Yes,No,No,77.080224,28.636103
2023-12-07 01:10:00,95,48,0.4,Lajpat Nagar,M2,1400,A2,High-Frequency Noise Detected,I2, IoT Pressure Sensor,34 (Pressure),S2,0.9 (Chlorine Level),"40.708474, -74.003940",0.170244,21989,₹144622.56,No,No,No,Yes,No,77.216608,28.632959
2023-12-07 01:20:00,80,45,0.3,Tilak Nagar,M3,1000,A3,No Noise Detected,I3, IoT Pressure Sensor,0.4 (Chlorine Level),S3,120 (Flow Rate),"40.701580, -73.999201",0.140869,21989,₹226492.50,No,Yes,No,No,No,77.181937,28.619259
2023-12-07 01:30:00,90,47,0.4,Bali Nagar,M4,2200,A4,No Noise Detected,I4,IoT Flow Sensor,112 ( Flow Rate),S4,0.7 (Chlorine Level),"40.712775, -74.005973",0.185313,53749,₹378048.12,Yes,No,No,No,Yes,77.176596,28.624107
2023-12-07 01:40:00,85,44,0.3,Malviya Nagar,M5,1600,A5,High-Frequency Noise Detected,I5,IoT Flow Sensor,43 (Pressure),S5,45(Pressure),"40.708474, -74.003940",0.1643,35844,₹0.00,No,No,No,Yes,No,77.201074,28.608536
2023-12-07 01:50:00,70,42,0.2,Ashok Nagar,M6,1200,A6,No Noise Detected,I6, IoT Pressure Sensor,56 ( Pressure),S6,140 ( Flow Rate),"40.701580, -73.999201",0.149583,415600,₹106578.55,No,No,Yes,No,No,77.166208,28.612688
2023-12-07 02:00:00,80,45,0.3,Nehru Place,M7,2400,A7,No Noise Detected,I7,IoT Flow Sensor,0.5 ( Chlorine Level),S7,132 (Flow Rate),"40.712775, -74.005973",0.209075,29974,₹0.00,Yes,Yes,No,No,No,77.212271,28.604443
2023-12-07 02:10:00,75,43,0.2,Dwarka,M8,1800,A8,High-Frequency Noise Detected,I8,IoT Flow Sensor,132 ( Flow Rate),S8,0.6 (Chlorine Level),"40.708474, -74.003940",0.127034,418178,₹185081.00,No,No,No,No,Yes,77.092539,28.54002
2023-12-07 02:20:00,60,40,0.1,Mayapuri,M9,1400,A9,No Noise Detected,I9, IoT Pressure Sensor,46 ( Pressure),S9,50 (Pressure),"40.701580, -73.999201",0.22375,419511,₹398745.65,Yes,No,No,No,No,77.144901,28.583083
2023-12-08 12:00,100,50,0.5,Tilak Nagar,M10,2000,A10,High-Frequency Noise Detected,I10, IoT Pressure Sensor,33 (Pressure),S10,120 (Flow Rate),"40.712775, -74.005973",0.1643,16048,₹0.00,No,Yes,Yes,No,No,77.181937,28.619259
2023-12-08 12:05,98,49,0.4,Bali Nagar,M11,1500,A11,No Noise Detected,I11,IoT Flow Sensor,0.7(Chlorine Level),S11,0.7 (Chlorine Level),"40.708474, -74.003940",0.142338,36997,₹0.00,No,No,No,Yes,No,77.176596,28.624107
2023-12-08 12:10,95,48,0.3,Malviya Nagar,M12,1200,A12,No Noise Detected,I12,IoT Flow Sensor,121 ( Flow Rate),S12,45(Pressure),"40.701580, -73.999201",0.185313,249156,₹0.00,No,No,Yes,No,Yes,77.201074,28.608536
2023-12-08 12:15,93,47,0.2,Ashok Nagar,M13,2200,A13,High-Frequency Noise Detected,I13, IoT Pressure Sensor,46 (Pressure),S13,140 ( Flow Rate),"40.712775, -74.005973",0.119469,249156,₹261064.38,Yes,Yes,No,No,No,77.166208,28.612688
2023-12-08 12:20,90,46,0.1,Nehru Place,M14,1800,A14,No Noise Detected,I14,IoT Flow Sensor,57 ( Pressure),S14,132 (Flow Rate),"40.708474, -74.003940",0.209075,249156,₹881115.62,No,No,No,No,Yes,77.212271,28.604443
2023-12-08 12:25,88,45,0,Dwarka,M15,1400,A15,No Noise Detected,I15,IoT Flow Sensor,0.5 ( Chlorine Level),S15,50 ( Pressure),"40.701580, -73.999201",0.170244,13888,₹881115.62,Yes,No,No,No,No,77.092539,28.54002
2023-12-08 01:00:00,100,50,0.5,Mayapuri,M16,1800,A16,No Noise Detected,I16,IoT Flow Sensor,0.8 (Chlorine Level),S16,52 (Pressure),"40.712775, -74.005973",0.157881,7190,₹261064.38,No,Yes,Yes,No,No,77.144901,28.583083
2023-12-08 01:10:00,95,48,0.4,Tilak Nagar,M17,1400,A17,High-Frequency Noise Detected,I17, IoT Pressure Sensor,34 (Pressure),S17,0.9 (Chlorine Level),"40.708474, -74.003940",0.179609,7190,₹226492.50,No,No,No,Yes,No,77.181937,28.619259
2023-12-08 01:20:00,80,45,0.3,Bali Nagar,M18,1000,A18,No Noise Detected,I18, IoT Pressure Sensor,0.4 (Chlorine Level),S18,120 (Flow Rate),"40.701580, -73.999201",0.134141,22319,₹388326.25,Yes,No,No,No,Yes,77.176596,28.624107
2023-12-09 01:30:00,90,47,0.4,Malviya Nagar,M19,2200,A19,No Noise Detected,I19,IoT Flow Sensor,112 ( Flow Rate),S19,0.7 (Chlorine Level),"40.712775, -74.005973",0.215563,36147,₹192481.25,No,Yes,Yes,No,No,77.201074,28.608536
2023-12-09 01:40:00,85,44,0.3,Ashok Nagar,M20,1600,A20,High-Frequency Noise Detected,I20,IoT Flow Sensor,43 (Pressure),S20,45(Pressure),"40.708474, -74.003940",0.179609,418707,₹0.00,No,No,No,Yes,No,77.166208,28.612688
2023-12-09 01:50:00,70,42,0.2,Nehru Place,M21,1200,A21,No Noise Detected,I21, IoT Pressure Sensor,56 ( Pressure),S21,140 ( Flow Rate),"40.701580, -73.999201",0.1643,10839,₹342541.88,Yes,No,No,No,Yes,77.212271,28.604443
2023-12-09 02:00:00,80,45,0.3,Dwarka,M22,2400,A22,No Noise Detected,I22,IoT Flow Sensor,0.5 ( Chlorine Level),S22,132 (Flow Rate),"40.712775, -74.005973",0.201413,45056,₹106578.55,No,No,Yes,No,No,77.092539,28.54002
2023-12-09 02:10:00,75,43,0.2,Mayapuri,M23,1800,A23,High-Frequency Noise Detected,I23,IoT Flow Sensor,132 ( Flow Rate),S23,0.6 (Chlorine Level),"40.708474, -74.003940",0.127034,2688,₹0.00,No,No,No,Yes,No,77.144901,28.583083
2023-12-09 02:20:00,60,40,0.1,Tilak Nagar,M24,1400,A24,No Noise Detected,I24, IoT Pressure Sensor,46 ( Pressure),S24,50 (Pressure),"40.701580, -73.999201",0.209075,414119,₹185081.00,Yes,Yes,No,No,No,77.181937,28.619259
2023-12-09 12:00,100,50,0.5,Bali Nagar,M25,2000,A25,High-Frequency Noise Detected,I25, IoT Pressure Sensor,33 (Pressure),S25,120 (Flow Rate),"40.712775, -74.005973",0.170244,12040,₹398745.65,No,No,No,No,Yes,77.176596,28.624107
2023-12-09 12:05,98,49,0.4,Malviya Nagar,M26,1500,A26,No Noise Detected,I26,IoT Flow Sensor,0.7(Chlorine Level),S26,0.7 (Chlorine Level),"40.708474, -74.003940",0.157881,10972,₹0.00,No,No,Yes,No,No,77.201074,28.608536
2023-12-09 12:10,95,48,0.3,Ashok Nagar,M27,1200,A27,No Noise Detected,I27,IoT Flow Sensor,121 ( Flow Rate),S27,45(Pressure),"40.701580, -73.999201",0.19245,410562,₹0.00,Yes,Yes,No,No,No,77.166208,28.612688
2023-12-10 12:15,93,47,0.2,Nehru Place,M28,2200,A28,High-Frequency Noise Detected,I28, IoT Pressure Sensor,46 (Pressure),S28,140 ( Flow Rate),"40.712775, -74.005973",0.19245,410639,₹0.00,No,No,No,No,Yes,77.212271,28.604443
2023-12-10 12:20,90,46,0.1,Dwarka,M29,1800,A29,No Noise Detected,I29,IoT Flow Sensor,57 ( Pressure),S29,132 (Flow Rate),"40.708474, -74.003940",0.170244,16275,₹261064.38,Yes,No,No,No,No,77.092539,28.54002
2023-12-10 12:25,88,45,0.5,Mayapuri,M30,1400,A30,No Noise Detected,I30,IoT Flow Sensor,0.5 ( Chlorine Level),S30,50 ( Pressure),"40.701580, -73.999201",0.140869,28594,₹881115.62,No,Yes,Yes,No,No,77.144901,28.583083
2023-12-10 02:20:00,100,50,0.4,Dwarka,M31,1800,A31,No Noise Detected,I31,IoT Flow Sensor,0.8 (Chlorine Level),S31,52 (Pressure),"40.712775, -74.005973",0.185313,5216,₹881115.62,No,No,No,Yes,No,77.092539,28.54002
2023-12-10 12:00,95,48,0.3,Mayapuri,M32,1400,A32,High-Frequency Noise Detected,I32, IoT Pressure Sensor,34 (Pressure),S32,0.9 (Chlorine Level),"40.708474, -74.003940",0.1643,29986,₹261064.38,Yes,No,No,No,Yes,77.144901,28.583083
2023-12-10 12:05,80,45,0.4,Tilak Nagar,M33,1000,A33,No Noise Detected,I33, IoT Pressure Sensor,0.4 (Chlorine Level),S33,120 (Flow Rate),"40.701580, -73.999201",0.149583,29986,₹226492.50,No,Yes,Yes,No,No,77.181937,28.619259
2023-12-10 12:10,90,47,0.3,Bali Nagar,M34,2200,A34,No Noise Detected,I34,IoT Flow Sensor,112 ( Flow Rate),S34,0.7 (Chlorine Level),"40.712775, -74.005973",0.209075,29986,₹388326.25,No,No,No,Yes,No,77.176596,28.624107
2023-12-10 12:15,85,44,0.2,Malviya Nagar,M35,1600,A35,High-Frequency Noise Detected,I35,IoT Flow Sensor,43 (Pressure),S35,45(Pressure),"40.708474, -74.003940",0.127034,415789,₹192481.25,Yes,Yes,No,No,No,77.201074,28.608536
2023-12-11 12:20,70,42,0.3,Ashok Nagar,M36,1200,A36,No Noise Detected,I36, IoT Pressure Sensor,56 ( Pressure),S36,140 ( Flow Rate),"40.701580, -73.999201",0.22375,415789,₹0.00,No,No,No,No,Yes,77.166208,28.612688
2023-12-11 12:25,80,45,0.2,Nehru Place,M37,2400,A37,No Noise Detected,I37,IoT Flow Sensor,0.5 ( Chlorine Level),S37,132 (Flow Rate),"40.712775, -74.005973",0.1643,407097,₹342541.88,No,No,Yes,No,No,77.212271,28.604443
2023-12-11 01:00:00,75,43,0.1,Dwarka,M38,1800,A38,High-Frequency Noise Detected,I38,IoT Flow Sensor,132 ( Flow Rate),S38,0.6 (Chlorine Level),"40.708474, -74.003940",0.142338,41562,₹106578.55,Yes,Yes,No,No,No,77.092539,28.54002
2023-12-11 01:10:00,60,40,0.5,Mayapuri,M39,1400,A39,No Noise Detected,I39, IoT Pressure Sensor,46 ( Pressure),S39,50 (Pressure),"40.701580, -73.999201",0.185313,418212,₹0.00,No,No,No,No,Yes,77.144901,28.583083
2023-12-11 01:20:00,100,50,0.4,Tilak Nagar,M40,2000,A40,High-Frequency Noise Detected,I40, IoT Pressure Sensor,33 (Pressure),S40,120 (Flow Rate),"40.712775, -74.005973",0.119469,48120,₹185081.00,Yes,No,No,No,No,77.181937,28.619259
2023-12-11 01:30:00,98,49,0.3,Bali Nagar,M41,1500,A41,No Noise Detected,I41,IoT Flow Sensor,0.7(Chlorine Level),S41,0.7 (Chlorine Level),"40.708474, -74.003940",0.209075,416724,₹398745.65,No,Yes,Yes,No,No,77.176596,28.624107
2023-12-11 01:40:00,95,48,0.2,Malviya Nagar,M42,1200,A42,No Noise Detected,I42,IoT Flow Sensor,121 ( Flow Rate),S42,45(Pressure),"40.701580, -73.999201",0.170244,416724,₹0.00,No,No,No,Yes,No,77.201074,28.608536
2023-12-11 01:50:00,93,47,0.1,Ashok Nagar,M43,2200,A43,High-Frequency Noise Detected,I43, IoT Pressure Sensor,46 (Pressure),S43,140 ( Flow Rate),"40.712775, -74.005973",0.157881,405490,₹0.00,Yes,No,No,No,Yes,77.166208,28.612688
2023-12-11 02:00:00,90,46,0.3,Nehru Place,M44,1800,A44,No Noise Detected,I44,IoT Flow Sensor,57 ( Pressure),S44,132 (Flow Rate),"40.708474, -74.003940",0.179609,43687,₹0.00,No,Yes,Yes,No,No,77.212271,28.604443
2023-12-11 02:10:00,88,45,0.2,Dwarka,M45,1400,A45,No Noise Detected,I45,IoT Flow Sensor,0.5 ( Chlorine Level),S45,50 ( Pressure),"40.701580, -73.999201",0.134141,416569,₹261064.38,Yes,No,No,No,No,77.092539,28.54002
2023-12-12 02:20:00,80,42,0.1,Mayapuri,M46,1800,A46,No Noise Detected,I46,IoT Flow Sensor,0.8 (Chlorine Level),S46,52 (Pressure),"40.712775, -74.005973",0.215563,416569,₹881115.62,No,Yes,Yes,No,No,77.144901,28.583083
2023-12-12 12:00,90,45,0.5,Tilak Nagar,M47,1400,A47,High-Frequency Noise Detected,I47, IoT Pressure Sensor,34 (Pressure),S47,0.9 (Chlorine Level),"40.708474, -74.003940",0.179609,416812,₹881115.62,No,No,No,Yes,No,77.181937,28.619259
2023-12-12 12:05,85,43,0.4,Bali Nagar,M48,1000,A48,No Noise Detected,I48, IoT Pressure Sensor,0.4 (Chlorine Level),S48,120 (Flow Rate),"40.701580, -73.999201",0.1643,410657,₹261064.38,Yes,No,No,No,Yes,77.176596,28.624107
2023-12-12 12:10,70,40,0.3,Malviya Nagar,M49,2200,A49,No Noise Detected,I49,IoT Flow Sensor,112 ( Flow Rate),S49,0.7 (Chlorine Level),"40.712775, -74.005973",0.201413,416660,₹226492.50,No,Yes,Yes,No,No,77.201074,28.608536
2023-12-12 12:15,80,50,0.2,Ashok Nagar,M50,1600,A50,High-Frequency Noise Detected,I50,IoT Flow Sensor,43 (Pressure),S50,45(Pressure),"40.708474, -74.003940",0.127034,416812,₹388326.25,No,No,No,Yes,No,77.166208,28.612688